image_id,image_path,alpha,theta_gt,raw_theta_shift,theta_attack_hat,theta_hat_raw,theta_hat,angle_sign,angle_error,angle_error_mod180,best_score,top2_score,corr_margin,ambiguity_resolved,candidate_score_0,candidate_score_180,diff_theta_hat,diff_angle_error,diff_best_score,diff_corr_margin,diff_rot_theta_shift,diff_rot_attack_hat,diff_rot_attack_error,diff_rot_theta_hat,diff_rot_angle_error,diff_rot_best_score,diff_rot_corr_margin,psnr_anchor,ssim_anchor,psnr_clean,ssim_clean,vae_mse_anchor,vae_mse_clean,vae_mse_symmetric,vae_cos_anchor,vae_cos_clean,vae_cos_symmetric,runtime_ms
orientation_batch_03,real_watermarked_images_sd15_512/orientation_batch_03.png,0.15,0.0,1.0,179.0,1.0,179.0,raw,1.0,1.0,177.1107940673828,177.1107940673828,0.0,False,nan,nan,0.0,0.0,258.41650390625,0.0,0.0,0.0,0.0,0.0,0.0,258.41650390625,0.0,44.0231618969295,0.9993167180314946,11.648032604863822,-0.14636052958248016,3.1187658309936523,0.00029093027114868164,2.0333428382873535,0.9354436886457103,0.9999940507535906,0.9575315596009002,1375.9024422615767
orientation_batch_03,real_watermarked_images_sd15_512/orientation_batch_03.png,0.18,0.0,1.0,179.0,1.0,179.0,raw,1.0,1.0,191.15924072265625,191.15924072265625,0.0,False,nan,nan,0.0,0.0,258.3984069824219,0.0,0.0,0.0,0.0,0.0,0.0,258.3984069824219,0.0,42.43964980259865,0.9990164143459849,11.644027965715331,-0.14619435693418803,3.7060546875,0.0005889492458663881,2.3866519927978516,0.9231424035147581,0.999987956344613,0.9499625285208217,1380.110263824463
orientation_batch_04,real_watermarked_images_sd15_512/orientation_batch_04.png,0.12,0.0,1.0,179.0,1.0,179.0,raw,1.0,1.0,170.90939331054688,170.90939331054688,0.0,False,nan,nan,0.0,0.0,258.6958923339844,0.0,0.0,0.0,0.0,0.0,0.0,258.6958923339844,0.0,45.63093436189948,0.9994356419698741,12.853518927370473,-0.02906628668638045,0.27449893951416016,8.640878149890341e-06,0.2307576984167099,0.9936286575529988,0.9999998009374514,0.9946829065365337,1385.2978460490704
orientation_batch_04,real_watermarked_images_sd15_512/orientation_batch_04.png,0.15,0.0,1.0,179.0,1.0,179.0,raw,1.0,1.0,188.823486328125,188.823486328125,0.0,False,nan,nan,0.0,0.0,258.787841796875,0.0,0.0,0.0,0.0,0.0,0.0,258.787841796875,0.0,43.6928685109463,0.9991185481172726,12.848670635739452,-0.029011056951736836,0.4105755686759949,1.3513310477719642e-05,0.35105276107788086,0.9904529512522453,0.9999996886510737,0.9918940179526339,1399.4972743093967
orientation_batch_04,real_watermarked_images_sd15_512/orientation_batch_04.png,0.18,0.0,1.0,179.0,1.0,179.0,raw,1.0,1.0,202.94430541992188,202.94430541992188,0.0,False,nan,nan,0.0,0.0,258.8730163574219,0.0,0.0,0.0,0.0,0.0,0.0,258.8730163574219,0.0,42.109407051822494,0.9987313287419868,12.842637719205328,-0.028936364599457417,0.5752519965171814,2.0087618395336904e-05,0.4852195680141449,0.9865923368362568,0.999999537051063,0.9887705738079892,1413.5161321610212
orientation_batch_05,real_watermarked_images_sd15_512/orientation_batch_05.png,0.12,0.0,1.0,179.0,1.0,179.0,raw,1.0,1.0,167.1623992919922,167.1623992919922,0.0,False,nan,nan,0.0,0.0,258.2555847167969,0.0,0.0,0.0,0.0,0.0,0.0,258.2555847167969,0.0,45.65477833109692,0.9995269408687443,11.897012809219149,-0.10173809405466656,2.7967793941497803,3.582898716558702e-05,1.9036972522735596,0.9392104587026052,0.9999992270939504,0.958109262061421,1374.5192773640156
orientation_batch_05,real_watermarked_images_sd15_512/orientation_batch_05.png,0.15,0.0,1.0,179.0,1.0,179.0,raw,1.0,1.0,184.2551727294922,184.2551727294922,0.0,False,nan,nan,0.0,0.0,258.2813720703125,0.0,0.0,0.0,0.0,0.0,0.0,258.2813720703125,0.0,43.71668994749096,0.9992610951956445,11.89336541677735,-0.10157344354068139,3.443804979324341,7.756685954518616e-05,2.406219959259033,0.9251125763737434,0.9999983261981524,0.9468198532304415,1424.678148701787
orientation_batch_05,real_watermarked_images_sd15_512/orientation_batch_05.png,0.18,0.0,1.0,179.0,1.0,179.0,raw,1.0,1.0,197.87266540527344,197.87266540527344,0.0,False,nan,nan,0.0,0.0,258.30145263671875,0.0,0.0,0.0,0.0,0.0,0.0,258.30145263671875,0.0,42.133161675867484,0.9989363961588168,11.888797233200588,-0.10137152561544317,3.8951284885406494,0.00014984150766395032,2.7232208251953125,0.9150827540681542,0.9999967659817806,0.9395847139750684,1360.004236921668
orientation_batch_06,real_watermarked_images_sd15_512/orientation_batch_06.png,0.12,0.0,1.0,179.0,1.0,179.0,raw,1.0,1.0,149.43605041503906,149.43605041503906,0.0,False,nan,nan,0.0,0.0,258.52459716796875,0.0,0.0,0.0,0.0,0.0,0.0,258.52459716796875,0.0,45.697238435424936,0.9995587189120689,12.271088583041095,0.09512153242887367,2.945462703704834,6.221038347575814e-05,1.7939119338989258,0.9390783154651788,0.9999987267670345,0.9625708042471686,1354.7453954815865
orientation_batch_06,real_watermarked_images_sd15_512/orientation_batch_06.png,0.15,0.0,1.0,179.0,1.0,179.0,raw,1.0,1.0,167.17677307128906,167.17677307128906,0.0,False,nan,nan,0.0,0.0,258.524658203125,0.0,0.0,0.0,0.0,0.0,0.0,258.524658203125,0.0,43.75934118305512,0.9993106917056878,12.267306311426609,0.09501521144520743,3.4601263999938965,0.0001132255929405801,2.1640772819519043,0.9282590773822695,0.9999976823643404,0.9546697387574811,1395.484946668148
